test_id,interval_start_utc,interval_end_utc,p_sched_kw,p_actual_mean_kw,p_actual_median_kw,tracking_error_kw,steady_tracking_error_kw,abs_tracking_error_kw,steady_abs_tracking_error_kw,relative_tracking_error,sign_aware_actual_kw,shortfall_kw,steady_shortfall_kw,shortfall_kwh,steady_shortfall_kwh,requested_kwh_abs,delivered_ratio,direction,actual_sample_count,steady_sample_count,interval_usable
1,2022-10-07 02:15:00+00:00,2022-10-07 02:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 02:30:00+00:00,2022-10-07 02:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 02:45:00+00:00,2022-10-07 03:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 03:00:00+00:00,2022-10-07 03:15:00+00:00,-1309.9347056085344,,,,,,,,,,,,,327.4836764021336,,charge,0,0,False
1,2022-10-07 03:15:00+00:00,2022-10-07 03:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 03:30:00+00:00,2022-10-07 03:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 03:45:00+00:00,2022-10-07 04:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 04:00:00+00:00,2022-10-07 04:15:00+00:00,-1428.1763292521628,,,,,,,,,,,,,357.0440823130407,,charge,0,0,False
1,2022-10-07 04:15:00+00:00,2022-10-07 04:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 04:30:00+00:00,2022-10-07 04:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 04:45:00+00:00,2022-10-07 05:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 05:00:00+00:00,2022-10-07 05:15:00+00:00,-1911.6261747549236,,,,,,,,,,,,,477.9065436887309,,charge,0,0,False
1,2022-10-07 05:15:00+00:00,2022-10-07 05:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 05:30:00+00:00,2022-10-07 05:45:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 05:45:00+00:00,2022-10-07 06:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 06:00:00+00:00,2022-10-07 06:15:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-07 06:15:00+00:00,2022-10-07 06:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 06:30:00+00:00,2022-10-07 06:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 06:45:00+00:00,2022-10-07 07:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 07:00:00+00:00,2022-10-07 07:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 07:15:00+00:00,2022-10-07 07:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 07:30:00+00:00,2022-10-07 07:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 07:45:00+00:00,2022-10-07 08:00:00+00:00,-1480.1050678720185,,,,,,,,,,,,,370.0262669680046,,charge,0,0,False
1,2022-10-07 08:00:00+00:00,2022-10-07 08:15:00+00:00,1346.9117670980816,,,,,,,,,,,,,336.7279417745204,,discharge,0,0,False
1,2022-10-07 08:15:00+00:00,2022-10-07 08:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 08:30:00+00:00,2022-10-07 08:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 08:45:00+00:00,2022-10-07 09:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 09:00:00+00:00,2022-10-07 09:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 09:15:00+00:00,2022-10-07 09:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 09:30:00+00:00,2022-10-07 09:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 09:45:00+00:00,2022-10-07 10:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 10:00:00+00:00,2022-10-07 10:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 10:15:00+00:00,2022-10-07 10:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 10:30:00+00:00,2022-10-07 10:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 10:45:00+00:00,2022-10-07 11:00:00+00:00,-2509.0775925237267,,,,,,,,,,,,,627.2693981309317,,charge,0,0,False
1,2022-10-07 11:00:00+00:00,2022-10-07 11:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 11:15:00+00:00,2022-10-07 11:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 11:30:00+00:00,2022-10-07 11:45:00+00:00,-1110.1083113449215,,,,,,,,,,,,,277.5270778362304,,charge,0,0,False
1,2022-10-07 11:45:00+00:00,2022-10-07 12:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 12:00:00+00:00,2022-10-07 12:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 12:15:00+00:00,2022-10-07 12:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 12:30:00+00:00,2022-10-07 12:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 12:45:00+00:00,2022-10-07 13:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 13:00:00+00:00,2022-10-07 13:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 13:15:00+00:00,2022-10-07 13:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 13:30:00+00:00,2022-10-07 13:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 13:45:00+00:00,2022-10-07 14:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 14:00:00+00:00,2022-10-07 14:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 14:15:00+00:00,2022-10-07 14:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 14:30:00+00:00,2022-10-07 14:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 14:45:00+00:00,2022-10-07 15:00:00+00:00,2419.2050756259364,,,,,,,,,,,,,604.8012689064841,,discharge,0,0,False
1,2022-10-07 15:00:00+00:00,2022-10-07 15:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-07 15:15:00+00:00,2022-10-07 15:30:00+00:00,-165.13854346173707,,,,,,,,,,,,,41.28463586543427,,charge,0,0,False
