sessionID,site,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,n_userInputs,kWhRequested_last,requestedDeparture_last,minutesAvailable_last,modifiedAt_last,kWhRequested_first
2_39_79_383_2018-11-29 20:42:31.605843,0002,"Thu, 29 Nov 2018 20:42:32 GMT","Fri, 30 Nov 2018 01:29:21 GMT","Thu, 29 Nov 2018 21:39:44 GMT",0.92,1,16.0,"Thu, 29 Nov 2018 21:42:32 GMT",60.0,"Thu, 29 Nov 2018 20:42:49 GMT",16.0
2_39_92_436_2018-11-29 20:38:54.178695,0002,"Thu, 29 Nov 2018 20:38:54 GMT","Fri, 30 Nov 2018 03:20:59 GMT","Thu, 29 Nov 2018 22:43:33 GMT",6.596,1,8.0,"Thu, 29 Nov 2018 21:31:54 GMT",53.0,"Thu, 29 Nov 2018 20:39:08 GMT",8.0
2_39_90_26_2018-11-29 20:31:20.487988,0002,"Thu, 29 Nov 2018 20:31:20 GMT","Fri, 30 Nov 2018 01:36:06 GMT","Thu, 29 Nov 2018 22:30:13 GMT",12.944,1,17.5,"Fri, 30 Nov 2018 01:31:20 GMT",300.0,"Thu, 29 Nov 2018 20:31:44 GMT",17.5
2_39_88_24_2018-11-29 20:14:29.125363,0002,"Thu, 29 Nov 2018 20:14:29 GMT","Fri, 30 Nov 2018 00:47:42 GMT","Thu, 29 Nov 2018 22:14:32 GMT",12.696,1,19.2,"Fri, 30 Nov 2018 01:21:29 GMT",307.0,"Thu, 29 Nov 2018 20:14:47 GMT",19.2
2_39_130_564_2018-11-29 20:07:11.126092,0002,"Thu, 29 Nov 2018 20:07:11 GMT","Fri, 30 Nov 2018 00:56:17 GMT","Thu, 29 Nov 2018 23:15:16 GMT",10.6,2,36.0,"Fri, 30 Nov 2018 01:37:11 GMT",330.0,"Thu, 29 Nov 2018 20:08:08 GMT",36.0
2_39_78_365_2018-11-29 19:58:28.339498,0002,"Thu, 29 Nov 2018 19:58:28 GMT","Fri, 30 Nov 2018 00:17:09 GMT","Thu, 29 Nov 2018 22:27:52 GMT",8.427,1,9.99,"Thu, 29 Nov 2018 21:56:28 GMT",118.0,"Thu, 29 Nov 2018 19:59:03 GMT",9.99
2_39_78_362_2018-11-29 19:57:35.145598,0002,"Thu, 29 Nov 2018 19:57:35 GMT","Fri, 30 Nov 2018 01:43:57 GMT","Fri, 30 Nov 2018 01:44:56 GMT",6.687,1,16.0,"Fri, 30 Nov 2018 03:33:35 GMT",456.0,"Thu, 29 Nov 2018 19:57:40 GMT",16.0
2_39_78_364_2018-11-29 19:01:19.098570,0002,"Thu, 29 Nov 2018 19:01:19 GMT","Fri, 30 Nov 2018 03:21:27 GMT","Fri, 30 Nov 2018 01:38:21 GMT",16.404,1,20.0,"Fri, 30 Nov 2018 01:27:19 GMT",386.0,"Thu, 29 Nov 2018 19:01:24 GMT",20.0
2_39_79_381_2018-11-29 18:44:35.990584,0002,"Thu, 29 Nov 2018 18:44:36 GMT","Thu, 29 Nov 2018 22:44:17 GMT","Thu, 29 Nov 2018 22:43:55 GMT",12.104,1,20.0,"Thu, 29 Nov 2018 22:23:36 GMT",219.0,"Thu, 29 Nov 2018 18:44:36 GMT",20.0
2_39_124_22_2018-11-29 18:27:55.531891,0002,"Thu, 29 Nov 2018 18:27:56 GMT","Fri, 30 Nov 2018 00:52:52 GMT","Thu, 29 Nov 2018 20:00:27 GMT",8.38,1,40.0,"Thu, 29 Nov 2018 21:00:56 GMT",153.0,"Thu, 29 Nov 2018 18:33:26 GMT",40.0
2_39_78_366_2018-11-29 18:05:12.292180,0002,"Thu, 29 Nov 2018 18:05:12 GMT","Fri, 30 Nov 2018 02:14:03 GMT","Fri, 30 Nov 2018 00:12:59 GMT",10.068,1,10.0,"Fri, 30 Nov 2018 05:58:12 GMT",713.0,"Thu, 29 Nov 2018 18:06:06 GMT",10.0
2_39_91_441_2018-11-29 18:02:41.731511,0002,"Thu, 29 Nov 2018 18:02:42 GMT","Fri, 30 Nov 2018 02:01:13 GMT","Thu, 29 Nov 2018 21:13:17 GMT",18.782,1,25.0,"Thu, 29 Nov 2018 22:56:42 GMT",294.0,"Thu, 29 Nov 2018 18:03:00 GMT",25.0
2_39_95_27_2018-11-29 17:40:23.495380,0002,"Thu, 29 Nov 2018 17:40:23 GMT","Fri, 30 Nov 2018 01:00:36 GMT","Thu, 29 Nov 2018 22:05:02 GMT",25.391,2,25.47,"Thu, 29 Nov 2018 21:57:23 GMT",257.0,"Thu, 29 Nov 2018 17:43:38 GMT",25.47
2_39_78_367_2018-11-29 17:36:09.984392,0002,"Thu, 29 Nov 2018 17:36:10 GMT","Fri, 30 Nov 2018 00:59:39 GMT","Fri, 30 Nov 2018 00:59:37 GMT",33.334,1,40.0,"Fri, 30 Nov 2018 02:11:10 GMT",515.0,"Thu, 29 Nov 2018 17:36:22 GMT",40.0
2_39_78_361_2018-11-29 17:20:06.524039,0002,"Thu, 29 Nov 2018 17:20:07 GMT","Fri, 30 Nov 2018 00:47:16 GMT","Fri, 30 Nov 2018 00:45:06 GMT",4.505,1,4.0,"Fri, 30 Nov 2018 00:04:07 GMT",404.0,"Thu, 29 Nov 2018 17:20:08 GMT",4.0
2_39_78_360_2018-11-29 17:04:07.155553,0002,"Thu, 29 Nov 2018 17:04:07 GMT","Fri, 30 Nov 2018 00:21:56 GMT","Thu, 29 Nov 2018 23:03:17 GMT",13.082,1,24.0,"Thu, 29 Nov 2018 22:54:07 GMT",350.0,"Thu, 29 Nov 2018 17:04:38 GMT",24.0
2_39_90_440_2018-11-29 17:04:02.479995,0002,"Thu, 29 Nov 2018 17:04:02 GMT","Fri, 30 Nov 2018 03:50:26 GMT","Thu, 29 Nov 2018 18:39:30 GMT",4.388,1,8.0,"Thu, 29 Nov 2018 23:57:02 GMT",413.0,"Thu, 29 Nov 2018 17:04:27 GMT",8.0
2_39_79_376_2018-11-29 17:01:34.849747,0002,"Thu, 29 Nov 2018 17:01:35 GMT","Fri, 30 Nov 2018 01:38:08 GMT","Fri, 30 Nov 2018 01:38:04 GMT",5.58,1,12.0,"Fri, 30 Nov 2018 03:19:35 GMT",618.0,"Thu, 29 Nov 2018 17:01:50 GMT",12.0
2_39_125_21_2018-11-29 16:56:13.952876,0002,"Thu, 29 Nov 2018 16:56:14 GMT","Fri, 30 Nov 2018 02:53:30 GMT","Thu, 29 Nov 2018 18:19:54 GMT",4.304,1,8.0,"Fri, 30 Nov 2018 01:25:14 GMT",509.0,"Thu, 29 Nov 2018 16:56:24 GMT",8.0
2_39_139_28_2018-11-29 16:55:57.166473,0002,"Thu, 29 Nov 2018 16:55:57 GMT","Fri, 30 Nov 2018 02:44:06 GMT","Thu, 29 Nov 2018 19:58:04 GMT",6.059,2,7.0,"Fri, 30 Nov 2018 05:31:57 GMT",756.0,"Thu, 29 Nov 2018 21:10:23 GMT",6.0
2_39_92_436_2018-11-29 16:49:09.541728,0002,"Thu, 29 Nov 2018 16:49:10 GMT","Thu, 29 Nov 2018 19:14:12 GMT","Thu, 29 Nov 2018 19:14:06 GMT",12.838,1,65.04,"Thu, 29 Nov 2018 20:13:10 GMT",204.0,"Thu, 29 Nov 2018 17:04:13 GMT",65.04
2_39_79_383_2018-11-29 16:42:52.110745,0002,"Thu, 29 Nov 2018 16:42:52 GMT","Thu, 29 Nov 2018 20:33:44 GMT","Thu, 29 Nov 2018 20:07:24 GMT",7.481,1,16.0,"Thu, 29 Nov 2018 17:42:52 GMT",60.0,"Thu, 29 Nov 2018 16:43:24 GMT",16.0
2_39_89_25_2018-11-29 16:37:54.700905,0002,"Thu, 29 Nov 2018 16:37:55 GMT","Fri, 30 Nov 2018 02:04:39 GMT","Thu, 29 Nov 2018 18:54:19 GMT",13.802,1,30.0,"Fri, 30 Nov 2018 01:52:55 GMT",555.0,"Thu, 29 Nov 2018 16:38:23 GMT",30.0
2_39_79_377_2018-11-29 16:33:49.603151,0002,"Thu, 29 Nov 2018 16:33:50 GMT","Fri, 30 Nov 2018 04:43:50 GMT","Thu, 29 Nov 2018 21:41:56 GMT",15.778,1,18.2,"Fri, 30 Nov 2018 01:21:50 GMT",528.0,"Thu, 29 Nov 2018 16:34:08 GMT",18.2
2_39_123_23_2018-11-29 16:33:31.090861,0002,"Thu, 29 Nov 2018 16:33:31 GMT","Thu, 29 Nov 2018 23:42:28 GMT","Thu, 29 Nov 2018 18:58:54 GMT",13.581,1,16.0,"Thu, 29 Nov 2018 23:02:31 GMT",389.0,"Thu, 29 Nov 2018 16:33:51 GMT",16.0
2_39_139_567_2018-11-29 16:32:32.592549,0002,"Thu, 29 Nov 2018 16:32:33 GMT","Fri, 30 Nov 2018 01:06:01 GMT","Thu, 29 Nov 2018 18:11:54 GMT",4.287,1,10.0,"Fri, 30 Nov 2018 01:05:33 GMT",513.0,"Thu, 29 Nov 2018 16:33:06 GMT",10.0
2_39_91_437_2018-11-29 16:31:26.806859,0002,"Thu, 29 Nov 2018 16:31:27 GMT","Fri, 30 Nov 2018 05:13:27 GMT","Thu, 29 Nov 2018 17:33:54 GMT",2.071,1,8.0,"Thu, 29 Nov 2018 20:07:27 GMT",216.0,"Thu, 29 Nov 2018 16:31:45 GMT",8.0
2_39_131_30_2018-11-29 16:05:20.933458,0002,"Thu, 29 Nov 2018 16:05:21 GMT","Thu, 29 Nov 2018 23:59:29 GMT","Thu, 29 Nov 2018 18:15:11 GMT",6.5,1,16.5,"Fri, 30 Nov 2018 00:14:21 GMT",489.0,"Thu, 29 Nov 2018 16:05:52 GMT",16.5
2_39_79_379_2018-11-29 16:05:11.071872,0002,"Thu, 29 Nov 2018 16:05:11 GMT","Fri, 30 Nov 2018 01:47:45 GMT","Fri, 30 Nov 2018 01:47:32 GMT",5.998,1,7.5,"Fri, 30 Nov 2018 00:46:11 GMT",521.0,"Thu, 29 Nov 2018 16:07:20 GMT",7.5
2_39_138_29_2018-11-29 15:52:02.660996,0002,"Thu, 29 Nov 2018 15:52:03 GMT","Thu, 29 Nov 2018 17:10:00 GMT","Thu, 29 Nov 2018 16:14:06 GMT",2.456,1,20.0,"Thu, 29 Nov 2018 18:29:03 GMT",157.0,"Thu, 29 Nov 2018 15:52:24 GMT",20.0
2_39_88_24_2018-11-29 15:27:04.726573,0002,"Thu, 29 Nov 2018 15:27:05 GMT","Thu, 29 Nov 2018 20:03:35 GMT","Thu, 29 Nov 2018 19:11:37 GMT",18.437,1,21.84,"Thu, 29 Nov 2018 19:42:05 GMT",255.0,"Thu, 29 Nov 2018 15:27:16 GMT",21.84
2_39_79_380_2018-11-29 14:57:53.088499,0002,"Thu, 29 Nov 2018 14:57:53 GMT","Fri, 30 Nov 2018 01:39:30 GMT","Thu, 29 Nov 2018 20:07:05 GMT",15.057,1,19.5,"Thu, 29 Nov 2018 23:00:53 GMT",483.0,"Thu, 29 Nov 2018 14:58:14 GMT",19.5
