hypothesis,interval_start,hour_from_start,p_sched_kw,p_actual_mean_kw,error_kw,abs_error_kw,signed_energy_deviation_kwh,abs_energy_deviation_kwh,unfulfilled_energy_kwh,actual_sample_count
S1_supplementary_timezone,2024-05-30 01:15:00,38.25,0.0,-2.6133333333333333,-2.6133333333333333,2.6133333333333333,-0.6533333333333333,0.6533333333333333,0.0,900
S1_supplementary_timezone,2024-05-30 01:30:00,38.5,0.0,-1.5577777777777777,-1.5577777777777777,1.5577777777777777,-0.3894444444444444,0.3894444444444444,0.0,900
S1_supplementary_timezone,2024-05-30 01:45:00,38.75,0.0,2137.842222222222,2137.842222222222,2137.842222222222,534.4605555555555,534.4605555555555,0.0,900
S1_supplementary_timezone,2024-05-30 02:00:00,39.0,-99.99999999999908,-2443.91,-2343.9100000000008,2343.9100000000008,-585.9775000000002,585.9775000000002,0.0,900
S1_supplementary_timezone,2024-05-30 02:15:00,39.25,0.0,-31.604444444444443,-31.604444444444443,31.604444444444443,-7.901111111111111,7.901111111111111,0.0,900
S1_supplementary_timezone,2024-05-30 02:30:00,39.5,0.0,-1.761111111111111,-1.761111111111111,1.761111111111111,-0.44027777777777777,0.44027777777777777,0.0,900
S1_supplementary_timezone,2024-05-30 02:45:00,39.75,2167.085957073119,1039.47,-1127.615957073119,1127.615957073119,-281.90398926827976,281.90398926827976,281.90398926827976,900
S1_supplementary_timezone,2024-05-30 03:00:00,40.0,-2520.0,-1199.148888888889,1320.851111111111,1320.851111111111,330.2127777777778,330.2127777777778,330.2127777777778,900
S1_supplementary_timezone,2024-05-30 03:15:00,40.25,0.0,-15.662222222222223,-15.662222222222223,15.662222222222223,-3.9155555555555557,3.9155555555555557,0.0,900
S1_supplementary_timezone,2024-05-30 03:30:00,40.5,0.0,-1.5022222222222221,-1.5022222222222221,1.5022222222222221,-0.37555555555555553,0.37555555555555553,0.0,900
S1_supplementary_timezone,2024-05-30 03:45:00,40.75,1053.2948075999998,2320.802222222222,1267.5074146222223,1267.5074146222223,316.8768536555556,316.8768536555556,0.0,900
S1_supplementary_timezone,2024-05-30 04:00:00,41.0,-1228.3327719602532,-1044.1733333333334,184.15943862691984,184.15943862691984,46.03985965672996,46.03985965672996,46.03985965672996,900
S1_supplementary_timezone,2024-05-30 04:15:00,41.25,0.0,2304.05,2304.05,2304.05,576.0125,576.0125,0.0,900
S1_supplementary_timezone,2024-05-30 04:30:00,41.5,0.0,2352.1877777777777,2352.1877777777777,2352.1877777777777,588.0469444444444,588.0469444444444,0.0,900
S1_supplementary_timezone,2024-05-30 04:45:00,41.75,2352.026252736964,28.963333333333335,-2323.062919403631,2323.062919403631,-580.7657298509077,580.7657298509077,580.7657298509077,900
S1_supplementary_timezone,2024-05-30 05:00:00,42.0,-1091.4216105988844,1397.1933333333334,2488.614943932218,2488.614943932218,622.1537359830545,622.1537359830545,622.1537359830545,900
S1_supplementary_timezone,2024-05-30 05:15:00,42.25,2352.026252736964,15.734444444444444,-2336.29180829252,2336.29180829252,-584.07295207313,584.07295207313,584.07295207313,900
S1_supplementary_timezone,2024-05-30 05:30:00,42.5,2352.026252736965,-99.71444444444444,-2451.7406971814094,2451.7406971814094,-612.9351742953523,612.9351742953523,612.9351742953523,900
