site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-124-22,2018-07,measured_no_pilot,M3_current_only,train,18924,41
caltech,2-39-124-558,2018-07,measured_no_pilot,M3_current_only,train,707,2
caltech,2-39-125-21,2018-07,measured_no_pilot,M3_current_only,train,19311,75
caltech,2-39-125-559,2018-07,measured_no_pilot,M3_current_only,train,1448,5
caltech,2-39-126-20,2018-07,measured_no_pilot,M3_current_only,train,11587,58
caltech,2-39-126-560,2018-07,measured_no_pilot,M3_current_only,train,3514,8
caltech,2-39-127-19,2018-07,measured_no_pilot,M3_current_only,train,17925,82
caltech,2-39-127-561,2018-07,measured_no_pilot,M3_current_only,train,3891,10
caltech,2-39-128-18,2018-07,measured_no_pilot,M3_current_only,train,15313,63
caltech,2-39-128-562,2018-07,measured_no_pilot,M3_current_only,train,2244,8
caltech,2-39-129-17,2018-07,measured_no_pilot,M3_current_only,train,20828,80
caltech,2-39-129-563,2018-07,measured_no_pilot,M3_current_only,train,1752,7
caltech,2-39-130-31,2018-07,measured_no_pilot,M3_current_only,train,13048,63
caltech,2-39-130-564,2018-07,measured_no_pilot,M3_current_only,train,2360,7
caltech,2-39-131-30,2018-07,measured_no_pilot,M3_current_only,train,25468,78
caltech,2-39-131-565,2018-07,measured_no_pilot,M3_current_only,train,1700,5
caltech,2-39-138-29,2018-07,measured_no_pilot,M3_current_only,train,19817,71
caltech,2-39-138-566,2018-07,measured_no_pilot,M3_current_only,train,1629,11
caltech,2-39-139-28,2018-07,measured_no_pilot,M3_current_only,train,25189,94
caltech,2-39-139-567,2018-07,measured_no_pilot,M3_current_only,train,374,4
caltech,2-39-78-360,2018-07,measured_no_pilot,M3_current_only,train,14601,46
caltech,2-39-78-361,2018-07,measured_no_pilot,M3_current_only,train,10786,32
caltech,2-39-78-362,2018-07,measured_no_pilot,M3_current_only,train,14214,38
caltech,2-39-78-363,2018-07,measured_no_pilot,M3_current_only,train,18280,44
caltech,2-39-78-364,2018-07,measured_no_pilot,M3_current_only,train,10269,33
caltech,2-39-78-365,2018-07,measured_no_pilot,M3_current_only,train,22943,74
caltech,2-39-78-366,2018-07,measured_no_pilot,M3_current_only,train,18786,39
caltech,2-39-78-367,2018-07,measured_no_pilot,M3_current_only,train,10974,40
caltech,2-39-79-376,2018-07,measured_no_pilot,M3_current_only,train,25285,46
caltech,2-39-79-377,2018-07,measured_no_pilot,M3_current_only,train,18412,52
caltech,2-39-79-378,2018-07,measured_no_pilot,M3_current_only,train,24302,43
caltech,2-39-79-379,2018-07,measured_no_pilot,M3_current_only,train,32427,60
caltech,2-39-79-380,2018-07,measured_no_pilot,M3_current_only,train,20435,70
caltech,2-39-79-381,2018-07,measured_no_pilot,M3_current_only,train,18286,54
caltech,2-39-79-382,2018-07,measured_no_pilot,M3_current_only,train,15077,38
caltech,2-39-79-383,2018-07,measured_no_pilot,M3_current_only,train,21510,51
caltech,2-39-82-384,2018-07,measured_no_pilot,M3_current_only,train,83,2
caltech,2-39-83-386,2018-07,measured_no_pilot,M3_current_only,train,4979,10
caltech,2-39-83-387,2018-07,measured_no_pilot,M3_current_only,train,716,12
caltech,2-39-88-24,2018-07,measured_no_pilot,M3_current_only,train,11909,44
caltech,2-39-88-438,2018-07,measured_no_pilot,M3_current_only,train,8670,24
caltech,2-39-89-25,2018-07,measured_no_pilot,M3_current_only,train,18710,72
caltech,2-39-89-439,2018-07,measured_no_pilot,M3_current_only,train,9022,24
caltech,2-39-90-26,2018-07,measured_no_pilot,M3_current_only,train,15049,36
caltech,2-39-90-440,2018-07,measured_no_pilot,M3_current_only,train,12404,25
caltech,2-39-91-437,2018-07,measured_no_pilot,M3_current_only,train,22681,52
caltech,2-39-91-441,2018-07,measured_no_pilot,M3_current_only,train,12924,36
caltech,2-39-92-436,2018-07,measured_no_pilot,M3_current_only,train,11558,34
caltech,2-39-92-442,2018-07,measured_no_pilot,M3_current_only,train,14656,32
caltech,2-39-95-27,2018-07,measured_no_pilot,M3_current_only,train,19460,50
caltech,2-39-95-444,2018-07,measured_no_pilot,M3_current_only,train,9378,27
