layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,jpl,validation,current_only,elapsed,60-119,pre_existing,2722,,,2714,827,0.304716,0.025538,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,elapsed,120-239,pre_existing,5839,,,5815,2009,0.345486,0.033393,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,elapsed,240+,pre_existing,9026,,,8996,3669,0.407848,0.040089,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,recent_actual_q90,Q1,train_quartile_ecdf,5703,,,5703,2055,0.360337,0.037589,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,recent_actual_q90,Q2,train_quartile_ecdf,2863,,,2863,1197,0.418093,0.040378,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,recent_actual_q90,Q3,train_quartile_ecdf,5274,,,5274,2615,0.495829,0.035897,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,recent_actual_q90,Q4,train_quartile_ecdf,7500,,,7500,1831,0.244133,0.033662,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,validation,current_only,recent_var,Q1,train_quartile_ecdf,3540,,,3540,1097,0.309887,0.031128,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,validation,current_only,recent_var,Q2,train_quartile_ecdf,5043,,,5043,1712,0.33948,0.035688,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
evidence,jpl,validation,current_only,recent_var,Q3,train_quartile_ecdf,5697,,,5697,2879,0.505354,0.035941,,,NA,diagnostic,a0_unavailable_current_only;metric_not_applicable
